Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,Season
DAL,DAL vs. PHX,05/06/2022,W,240,103,40,90,44.4,13,39,33.3,10,13,76.9,8,28,36,25,12,4,8,19,9,2021-22
PHX,PHX @ DAL,05/06/2022,L,240,94,34,76,44.7,13,28,46.4,13,15,86.7,9,36,45,23,5,1,17,14,-9,2021-22
PHX,PHX vs. DAL,05/04/2022,W,240,129,49,76,64.5,13,25,52.0,18,21,85.7,4,30,34,28,6,6,17,28,20,2021-22
MIA,MIA vs. PHI,05/04/2022,W,240,119,40,78,51.3,14,29,48.3,25,31,80.6,8,36,44,25,5,3,14,22,16,2021-22
PHI,PHI @ MIA,05/04/2022,L,240,103,38,84,45.2,8,30,26.7,19,22,86.4,5,29,34,17,10,4,10,25,-16,2021-22
DAL,DAL @ PHX,05/04/2022,L,240,109,36,79,45.6,17,41,41.5,20,24,83.3,7,18,25,19,7,1,17,26,-20,2021-22
BOS,BOS vs. MIL,05/03/2022,W,240,109,38,80,47.5,20,43,46.5,13,15,86.7,7,33,40,28,10,5,16,23,23,2021-22
MIL,MIL @ BOS,05/03/2022,L,240,86,34,73,46.6,3,18,16.7,15,23,65.2,5,32,37,16,4,5,17,19,-23,2021-22
MEM,MEM vs. GSW,05/03/2022,W,240,106,36,91,39.6,14,45,31.1,20,21,95.2,13,36,49,17,13,6,15,23,5,2021-22
GSW,GSW @ MEM,05/03/2022,L,240,101,40,95,42.1,7,38,18.4,14,18,77.8,14,38,52,27,6,2,18,20,-5,2021-22
PHI,PHI @ MIA,05/02/2022,L,240,92,34,79,43.0,6,34,17.6,18,20,90.0,9,28,37,18,4,6,15,17,-14,2021-22
DAL,DAL @ PHX,05/02/2022,L,240,114,40,85,47.1,16,39,41.0,18,25,72.0,7,29,36,16,6,2,9,22,-7,2021-22
PHX,PHX vs. DAL,05/02/2022,W,240,121,46,91,50.5,11,28,39.3,18,18,100,13,38,51,27,3,6,10,21,7,2021-22
MIA,MIA vs. PHI,05/02/2022,W,240,106,40,92,43.5,9,36,25.0,17,18,94.4,15,32,47,21,5,2,13,18,14,2021-22
BOS,BOS vs. MIL,05/01/2022,L,240,89,28,84,33.3,18,50,36.0,15,20,75.0,10,38,48,21,8,7,18,25,-12,2021-22
GSW,GSW @ MEM,05/01/2022,W,240,117,45,93,48.4,14,38,36.8,13,20,65.0,16,36,52,31,10,6,18,25,1,2021-22
MEM,MEM vs. GSW,05/01/2022,L,240,116,41,95,43.2,16,40,40.0,18,24,75.0,16,30,46,26,11,6,16,19,-1,2021-22
MIL,MIL @ BOS,05/01/2022,W,240,101,37,90,41.1,12,34,35.3,15,21,71.4,10,44,54,22,11,5,14,21,12,2021-22
MIN,MIN vs. MEM,04/29/2022,L,240,106,38,84,45.2,12,31,38.7,18,26,69.2,6,31,37,22,12,5,11,21,-8,2021-22
MEM,MEM @ MIN,04/29/2022,W,240,114,40,86,46.5,15,32,46.9,19,24,79.2,16,39,55,24,7,8,19,21,8,2021-22
UTA,UTA vs. DAL,04/28/2022,L,240,96,36,84,42.9,9,35,25.7,15,20,75.0,11,37,48,20,5,4,11,15,-2,2021-22
PHX,PHX @ NOP,04/28/2022,W,240,115,45,75,60.0,8,20,40.0,17,18,94.4,5,27,32,23,8,2,14,21,6,2021-22
PHI,PHI @ TOR,04/28/2022,W,240,132,47,81,58.0,16,40,40.0,22,23,95.7,10,37,47,32,4,4,11,22,35,2021-22
NOP,NOP vs. PHX,04/28/2022,L,240,109,42,83,50.6,8,24,33.3,17,19,89.5,12,24,36,25,9,0,17,25,-6,2021-22
DAL,DAL @ UTA,04/28/2022,W,240,98,36,80,45.0,17,43,39.5,9,11,81.8,3,34,37,22,6,4,10,19,2,2021-22
TOR,TOR vs. PHI,04/28/2022,L,240,97,35,89,39.3,7,35,20.0,20,25,80.0,15,22,37,15,6,1,10,22,-35,2021-22
GSW,GSW vs. DEN,04/27/2022,W,240,102,37,82,45.1,13,31,41.9,15,21,71.4,6,31,37,28,10,6,10,22,4,2021-22
DEN,DEN @ GSW,04/27/2022,L,240,98,36,81,44.4,6,29,20.7,20,29,69.0,14,36,50,26,5,5,15,21,-4,2021-22
MIL,MIL vs. CHI,04/27/2022,W,240,116,43,87,49.4,14,36,38.9,16,20,80.0,7,44,51,23,10,2,16,13,16,2021-22
CHI,CHI @ MIL,04/27/2022,L,240,100,39,92,42.4,15,52,28.8,7,11,63.6,6,31,37,24,12,3,16,18,-16,2021-22
NOP,NOP @ PHX,04/26/2022,L,240,97,32,80,40.0,5,25,20.0,28,35,80.0,13,34,47,14,6,5,15,20,-15,2021-22
MIN,MIN @ MEM,04/26/2022,L,240,109,37,83,44.6,14,33,42.4,21,24,87.5,6,36,42,23,9,7,23,29,-2,2021-22
ATL,ATL @ MIA,04/26/2022,L,240,94,31,74,41.9,8,25,32.0,24,28,85.7,12,30,42,15,8,2,19,22,-3,2021-22
MIA,MIA vs. ATL,04/26/2022,W,240,97,37,82,45.1,7,31,22.6,16,21,76.2,7,26,33,19,12,2,14,25,3,2021-22
MEM,MEM vs. MIN,04/26/2022,W,240,111,39,94,41.5,7,28,25.0,26,39,66.7,18,35,53,24,10,7,16,19,2,2021-22
PHX,PHX vs. NOP,04/26/2022,W,240,112,43,86,50.0,10,27,37.0,16,20,80.0,6,34,40,28,10,4,10,25,15,2021-22
BKN,BKN vs. BOS,04/25/2022,L,240,112,41,81,50.6,13,35,37.1,17,29,58.6,8,30,38,28,5,7,10,23,-4,2021-22
BOS,BOS @ BKN,04/25/2022,W,240,116,42,89,47.2,14,35,40.0,18,22,81.8,10,35,45,26,3,4,13,28,4,2021-22
PHI,PHI vs. TOR,04/25/2022,L,240,88,31,81,38.3,10,37,27.0,16,20,80.0,8,29,37,21,7,1,16,17,-15,2021-22
DAL,DAL vs. UTA,04/25/2022,W,240,102,37,85,43.5,12,43,27.9,16,21,76.2,11,38,49,16,6,1,11,18,25,2021-22
UTA,UTA @ DAL,04/25/2022,L,240,77,29,77,37.7,3,30,10.0,16,21,76.2,7,33,40,12,8,2,13,24,-25,2021-22
TOR,TOR @ PHI,04/25/2022,W,240,103,42,82,51.2,8,31,25.8,11,13,84.6,3,37,40,24,8,6,9,20,15,2021-22
GSW,GSW @ DEN,04/24/2022,L,240,121,43,86,50.0,12,34,35.3,23,32,71.9,9,27,36,26,15,3,17,27,-5,2021-22
MIA,MIA @ ATL,04/24/2022,W,240,110,40,92,43.5,13,42,31.0,17,21,81.0,15,33,48,22,8,1,7,23,24,2021-22
ATL,ATL vs. MIA,04/24/2022,L,240,86,30,75,40.0,15,42,35.7,11,20,55.0,11,30,41,18,2,3,15,21,-24,2021-22
PHX,PHX @ NOP,04/24/2022,L,240,103,43,85,50.6,7,27,25.9,10,15,66.7,12,27,39,33,6,3,13,28,-15,2021-22
NOP,NOP vs. PHX,04/24/2022,W,240,118,40,85,47.1,6,24,25.0,32,42,76.2,19,29,48,20,8,3,9,16,15,2021-22
MIL,MIL @ CHI,04/24/2022,W,240,119,45,86,52.3,17,33,51.5,12,18,66.7,5,46,51,21,6,4,15,23,24,2021-22
CHI,CHI vs. MIL,04/24/2022,L,240,95,35,90,38.9,9,36,25.0,16,17,94.1,8,36,44,27,5,3,12,18,-24,2021-22
DEN,DEN vs. GSW,04/24/2022,W,240,126,41,73,56.2,15,31,48.4,29,36,80.6,5,28,33,28,9,2,20,31,5,2021-22
UTA,UTA vs. DAL,04/23/2022,W,240,100,32,79,40.5,10,35,28.6,26,42,61.9,13,33,46,17,4,3,8,21,1,2021-22
MEM,MEM @ MIN,04/23/2022,L,240,118,42,86,48.8,15,32,46.9,19,25,76.0,6,33,39,31,9,4,19,33,-1,2021-22
MIN,MIN vs. MEM,04/23/2022,W,240,119,35,74,47.3,18,36,50.0,31,40,77.5,6,28,34,23,7,8,16,23,1,2021-22
BOS,BOS @ BKN,04/23/2022,W,240,109,42,84,50.0,12,39,30.8,13,14,92.9,13,21,34,26,13,3,14,19,6,2021-22
BKN,BKN vs. BOS,04/23/2022,L,240,103,39,77,50.6,12,29,41.4,13,16,81.3,12,21,33,25,7,5,21,22,-6,2021-22
DAL,DAL @ UTA,04/23/2022,L,240,99,33,77,42.9,15,44,34.1,18,23,78.3,7,36,43,15,4,2,12,29,-1,2021-22
TOR,TOR vs. PHI,04/23/2022,W,240,110,37,88,42.0,8,34,23.5,28,35,80.0,13,33,46,19,9,6,11,20,8,2021-22
PHI,PHI @ TOR,04/23/2022,L,240,102,34,80,42.5,13,31,41.9,21,25,84.0,6,35,41,24,4,5,16,26,-8,2021-22
NOP,NOP vs. PHX,04/22/2022,L,240,111,38,79,48.1,11,32,34.4,24,31,77.4,11,34,45,17,4,5,15,28,-3,2021-22
CHI,CHI vs. MIL,04/22/2022,L,240,81,33,84,39.3,9,34,26.5,6,10,60.0,5,38,43,22,5,2,13,15,-30,2021-22
MIL,MIL @ CHI,04/22/2022,W,240,111,43,91,47.3,15,41,36.6,10,14,71.4,9,46,55,27,8,6,10,15,30,2021-22
ATL,ATL vs. MIA,04/22/2022,W,240,111,41,80,51.3,12,32,37.5,17,21,81.0,5,31,36,23,5,3,11,20,1,2021-22
PHX,PHX @ NOP,04/22/2022,W,240,114,44,87,50.6,4,26,15.4,22,27,81.5,9,26,35,26,8,3,6,21,3,2021-22
MIA,MIA @ ATL,04/22/2022,L,240,110,41,93,44.1,14,45,31.1,14,17,82.4,11,34,45,30,6,3,15,23,-1,2021-22
DAL,DAL @ UTA,04/21/2022,W,240,126,41,83,49.4,18,42,42.9,26,31,83.9,6,26,32,24,10,1,9,32,8,2021-22
MEM,MEM @ MIN,04/21/2022,W,240,104,35,83,42.2,14,37,37.8,20,31,64.5,13,35,48,22,7,9,18,20,9,2021-22
MIN,MIN vs. MEM,04/21/2022,L,240,95,33,85,38.8,12,35,34.3,17,23,73.9,9,32,41,21,11,11,17,28,-9,2021-22
UTA,UTA vs. DAL,04/21/2022,L,240,118,39,69,56.5,9,28,32.1,31,33,93.9,1,31,32,20,2,4,14,28,-8,2021-22
DEN,DEN vs. GSW,04/21/2022,L,240,113,40,80,50.0,11,26,42.3,22,27,81.5,11,33,44,25,9,3,18,26,-5,2021-22
GSW,GSW @ DEN,04/21/2022,W,240,118,41,74,55.4,18,40,45.0,18,28,64.3,4,26,30,29,7,6,16,25,5,2021-22
TOR,TOR vs. PHI,04/20/2022,L,265,101,38,86,44.2,13,35,37.1,12,18,66.7,9,23,32,23,9,4,11,21,-3,2021-22
PHI,PHI @ TOR,04/20/2022,W,265,104,38,74,51.4,13,31,41.9,15,20,75.0,9,37,46,18,5,3,24,21,3,2021-22
BKN,BKN @ BOS,04/20/2022,L,240,107,35,76,46.1,10,21,47.6,27,34,79.4,9,27,36,16,8,8,14,28,-7,2021-22
BOS,BOS vs. BKN,04/20/2022,W,240,114,39,75,52.0,11,31,35.5,25,31,80.6,7,29,36,27,7,4,14,27,7,2021-22
CHI,CHI @ MIL,04/20/2022,W,240,114,44,89,49.4,12,25,48.0,14,15,93.3,6,37,43,25,7,5,13,20,4,2021-22
MIL,MIL vs. CHI,04/20/2022,L,240,110,38,82,46.3,14,36,38.9,20,31,64.5,9,35,44,27,4,6,15,17,-4,2021-22
NOP,NOP @ PHX,04/19/2022,W,240,125,46,84,54.8,17,30,56.7,16,20,80.0,11,32,43,32,7,6,17,20,11,2021-22
ATL,ATL @ MIA,04/19/2022,L,240,105,41,87,47.1,12,40,30.0,11,14,78.6,7,33,40,21,6,2,19,26,-10,2021-22
MIA,MIA vs. ATL,04/19/2022,W,240,115,38,79,48.1,14,36,38.9,25,29,86.2,4,30,34,21,9,6,15,24,10,2021-22
PHX,PHX vs. NOP,04/19/2022,L,240,114,43,86,50.0,13,35,37.1,15,18,83.3,8,25,33,26,9,3,13,18,-11,2021-22
MIN,MIN @ MEM,04/19/2022,L,240,96,30,76,39.5,11,38,28.9,25,28,89.3,4,36,40,16,5,9,20,28,-28,2021-22
MEM,MEM vs. MIN,04/19/2022,W,240,124,44,92,47.8,11,34,32.4,25,32,78.1,14,34,48,29,9,1,12,22,28,2021-22
DEN,DEN @ GSW,04/18/2022,L,240,106,37,87,42.5,13,36,36.1,19,21,90.5,17,30,47,20,4,4,18,25,-20,2021-22
PHI,PHI vs. TOR,04/18/2022,W,240,112,36,69,52.2,14,30,46.7,26,30,86.7,7,34,41,20,5,12,16,18,15,2021-22
TOR,TOR @ PHI,04/18/2022,L,240,97,38,89,42.7,11,32,34.4,10,12,83.3,13,22,35,16,7,4,11,24,-15,2021-22
GSW,GSW vs. DEN,04/18/2022,W,240,126,46,84,54.8,17,40,42.5,17,24,70.8,6,29,35,27,10,8,9,20,20,2021-22
DAL,DAL vs. UTA,04/18/2022,W,240,110,39,83,47.0,22,47,46.8,10,13,76.9,2,29,31,22,5,2,3,19,6,2021-22
UTA,UTA @ DAL,04/18/2022,L,240,104,38,82,46.3,11,29,37.9,17,20,85.0,11,39,50,19,2,4,10,19,-6,2021-22
MIA,MIA vs. ATL,04/17/2022,W,240,115,43,82,52.4,18,38,47.4,11,18,61.1,4,36,40,35,12,3,15,22,24,2021-22
ATL,ATL @ MIA,04/17/2022,L,240,91,29,75,38.7,10,36,27.8,23,27,85.2,8,30,38,16,8,2,18,19,-24,2021-22
BOS,BOS vs. BKN,04/17/2022,W,240,115,42,89,47.2,12,33,36.4,19,24,79.2,14,29,43,24,12,5,15,24,1,2021-22
CHI,CHI @ MIL,04/17/2022,L,240,86,31,96,32.3,7,37,18.9,17,19,89.5,16,37,53,17,10,3,11,22,-7,2021-22
BKN,BKN @ BOS,04/17/2022,L,240,114,42,78,53.8,11,24,45.8,19,24,79.2,5,24,29,20,12,6,16,26,-1,2021-22
MIL,MIL vs. CHI,04/17/2022,W,240,93,34,84,40.5,10,38,26.3,15,23,65.2,11,47,58,19,4,6,21,21,7,2021-22
PHX,PHX vs. NOP,04/17/2022,W,240,110,42,78,53.8,10,28,35.7,16,21,76.2,5,30,35,25,6,9,10,23,11,2021-22
NOP,NOP @ PHX,04/17/2022,L,240,99,36,95,37.9,9,23,39.1,18,26,69.2,25,30,55,20,4,2,14,18,-11,2021-22
UTA,UTA @ DAL,04/16/2022,W,240,99,36,83,43.4,7,22,31.8,20,23,87.0,13,40,53,15,3,5,14,25,6,2021-22
PHI,PHI vs. TOR,04/16/2022,W,240,131,43,84,51.2,16,32,50.0,29,34,85.3,10,29,39,29,6,4,4,18,20,2021-22
TOR,TOR @ PHI,04/16/2022,L,240,111,40,82,48.8,12,30,40.0,19,23,82.6,7,28,35,27,1,8,8,26,-20,2021-22
DEN,DEN @ GSW,04/16/2022,L,240,107,43,93,46.2,11,35,31.4,10,13,76.9,9,26,35,26,8,3,11,22,-16,2021-22
GSW,GSW vs. DEN,04/16/2022,W,240,123,43,82,52.4,16,35,45.7,21,29,72.4,10,31,41,33,5,8,13,22,16,2021-22
MIN,MIN @ MEM,04/16/2022,W,240,130,45,90,50.0,16,41,39.0,24,27,88.9,11,35,46,32,5,7,19,32,13,2021-22
MEM,MEM vs. MIN,04/16/2022,L,240,117,39,86,45.3,7,27,25.9,32,43,74.4,8,27,35,25,7,8,12,24,-13,2021-22
DAL,DAL vs. UTA,04/16/2022,L,240,93,29,76,38.2,9,32,28.1,26,34,76.5,7,27,34,17,8,4,7,22,-6,2021-22
