PLAYER,SEASON,TEAM,Cluster,MIN,전체적인 평점,Salary
Alperen Sengun,2022-23,HOU,5,28.9,5.296552093758897,3375360.0
Tobias Harris,2022-23,PHI,5,32.9,5.871104229623488,37633050.0
Gordon Hayward,2022-23,CHA,0,31.5,4.596203044785532,30075000.0
Trey Murphy III,2022-23,NOP,2,31.0,6.47771802140293,3206640.0
Tim Hardaway Jr.,2022-23,DAL,2,30.3,5.716677803388875,19602273.0
Dillon Brooks,2022-23,MEM,5,30.3,5.539316983035915,11400000.0
Collin Sexton,2022-23,UTA,4,23.9,3.748026237436792,16700000.0
Jarrett Allen,2022-23,CLE,1,32.6,6.307100632786378,20000000.0
Bobby Portis,2022-23,MIL,5,26.0,5.070787866619551,10843350.0
Jalen Williams,2022-23,OKC,1,30.3,5.540721387282678,4341480.0
Markelle Fultz,2022-23,ORL,0,29.6,4.176533098450427,16500000.0
Chris Paul,2022-23,PHX,1,32.0,4.574866274782787,28400000.0
Saddiq Bey,2022-23,ATL,5,27.6,6.050032346143103,2959080.0
Luguentz Dort,2022-23,OKC,2,30.7,5.036327150239038,15277778.0
Malik Monk,2022-23,SAC,2,22.3,5.165789934149128,9472219.0
Rudy Gobert,2022-23,MIN,5,30.7,4.937396281596712,38172414.0
John Collins,2022-23,ATL,2,30.0,4.506748594954952,23500000.0
Cole Anthony,2022-23,ORL,2,25.9,4.301724287402021,3613680.0
Austin Reaves,2022-23,LAL,4,28.8,5.616540838778062,1563518.0
Tre Jones,2022-23,SAS,4,29.2,4.90900977302722,1782621.0
Jabari Smith Jr.,2022-23,HOU,4,31.0,5.520958704158682,8882640.0
Alec Burks,2022-23,DET,5,22.0,4.36607466935779,10012800.0
KJ Martin,2022-23,HOU,1,28.0,5.575012714504642,1782621.0
Malik Beasley,2022-23,LAL,5,25.8,4.901965337869882,15558035.0
Nic Claxton,2022-23,BKN,5,29.9,4.8360603071539,8500000.0
Kelly Olynyk,2022-23,UTA,2,28.6,4.010056011717394,12804878.0
Eric Gordon,2022-23,LAC,5,28.5,4.862219479212287,19568360.0
Derrick White,2022-23,BOS,2,28.3,5.003694276406356,17142857.0
Keegan Murray,2022-23,SAC,2,29.8,5.144969845801739,8008440.0
Caris LeVert,2022-23,CLE,2,30.2,4.85504050279076,18796296.0
Jaden McDaniels,2022-23,MIN,4,30.6,4.590197612146176,2161440.0
Marvin Bagley III,2022-23,DET,0,23.6,3.305379172246228,12500000.0
Clint Capela,2022-23,ATL,5,26.6,4.63878280586936,18206896.0
Mike Conley,2022-23,MIN,0,30.3,4.3355189160389065,22680000.0
Bones Hyland,2022-23,LAC,5,19.4,3.849656149634664,2201520.0
Lonnie Walker IV,2022-23,LAL,1,23.2,3.928687786916425,6479000.0
Zach Collins,2022-23,SAS,4,22.9,3.487832501548512,7350000.0
Bruce Brown,2022-23,DEN,1,28.5,4.56158534625337,6479000.0
Max Strus,2022-23,MIA,1,28.4,4.310254408277872,1815677.0
Marcus Smart,2022-23,BOS,4,32.1,4.08357935815915,17207142.0
Naz Reid,2022-23,MIN,4,18.4,3.3550631905620567,1930681.0
Isaiah Stewart,2022-23,DET,4,28.3,3.921015583550553,3433320.0
Quentin Grimes,2022-23,NYK,4,29.9,4.428551169236684,2277000.0
Rui Hachimura,2022-23,LAL,1,23.3,4.440939728805573,6263188.0
Marcus Morris Sr.,2022-23,LAC,4,28.1,5.239645961695845,16372000.0
Kyle Lowry,2022-23,MIA,5,31.2,3.4495352176547187,28333334.0
Corey Kispert,2022-23,WAS,1,28.3,4.016816134629732,3552840.0
Jeremy Sochan,2022-23,SAS,4,26.0,3.5724719593743703,5063520.0
Mason Plumlee,2022-23,LAC,1,26.0,4.40952579089755,9080417.0
Jaylen Nowell,2022-23,MIN,2,19.3,3.796658753749416,1930681.0
Kentavious Caldwell-Pope,2022-23,DEN,4,31.3,5.008467807899636,14004703.0
Ivica Zubac,2022-23,LAC,4,28.5,4.42622347318761,10123457.0
Talen Horton-Tucker,2022-23,UTA,0,20.2,3.7032636123816536,10260000.0
Victor Oladipo,2022-23,MIA,4,26.3,3.114235699746475,8750000.0
Cam Thomas,2022-23,BKN,1,16.6,3.0298536136529486,2138160.0
Moritz Wagner,2022-23,ORL,5,19.5,2.805968036853669,1878720.0
Grayson Allen,2022-23,MIL,4,27.4,4.559737697121355,8925000.0
Killian Hayes,2022-23,DET,5,28.3,3.620936507475785,5837760.0
Tyus Jones,2022-23,MEM,2,24.2,4.406131542702237,15000000.0
Cameron Payne,2022-23,PHX,5,20.2,3.6477857374292095,6000000.0
Doug McDermott,2022-23,SAS,4,20.5,3.7807870750405113,13750000.0
Malaki Branham,2022-23,SAS,1,23.5,3.590457061564317,2925600.0
Reggie Jackson,2022-23,DEN,4,24.4,3.486309564772069,11457217.0
Patrick Williams,2022-23,CHI,4,28.3,3.9287681469640177,7775400.0
De'Anthony Melton,2022-23,PHI,0,27.9,3.7951670413380287,8250000.0
Aaron Nesmith,2022-23,IND,0,24.9,4.25190262124958,3804360.0
Josh Richardson,2022-23,NOP,1,23.5,3.412708181733888,12196094.0
James Wiseman,2022-23,DET,1,19.3,3.911431500342011,9603360.0
Brandon Clarke,2022-23,MEM,5,19.5,3.9944989725299136,4343919.0
Jonathan Kuminga,2022-23,GSW,1,20.8,3.2123854000008434,5739840.0
Onyeka Okongwu,2022-23,ATL,5,23.1,3.3182167677870087,6395160.0
Jalen Suggs,2022-23,ORL,4,23.5,2.985556479346329,6922320.0
Shaedon Sharpe,2022-23,POR,1,22.2,4.249022144045259,6012960.0
Herbert Jones,2022-23,NOP,0,29.6,3.7043493688841216,1785000.0
Thomas Bryant,2022-23,DEN,1,18.3,3.2165865334191097,1968175.0
Al Horford,2022-23,BOS,2,30.5,3.6388452203952073,26500000.0
Josh Hart,2022-23,NYK,5,32.3,4.354782206275923,12960000.0
Coby White,2022-23,CHI,2,23.4,3.1126573836974587,7413955.0
Keita Bates-Diop,2022-23,SAS,4,21.7,3.2515326851059068,1878720.0
Caleb Martin,2022-23,MIA,4,29.3,3.961471065122111,6479000.0
Isaiah Joe,2022-23,OKC,5,19.1,3.3206104926161286,1836090.0
Andrew Nembhard,2022-23,IND,4,27.6,3.4610180748934067,2244111.0
Jalen Smith,2022-23,IND,5,18.8,3.244668525972308,4670160.0
Jalen McDaniels,2022-23,PHI,1,23.9,3.511117584021925,1930681.0
Gabe Vincent,2022-23,MIA,4,25.9,3.448488465784794,1815677.0
Donte DiVincenzo,2022-23,GSW,4,26.3,3.5485292407096,4500000.0
Kyle Anderson,2022-23,MIN,5,28.4,3.576775552600504,8780488.0
Chris Boucher,2022-23,TOR,4,20.0,2.9708158927403403,12690000.0
Hamidou Diallo,2022-23,DET,5,17.8,2.378999906940752,5200000.0
Tari Eason,2022-23,HOU,0,21.6,2.94720774587098,3359160.0
Luke Kennard,2022-23,MEM,5,22.3,3.225016550988764,13745455.0
Precious Achiuwa,2022-23,TOR,4,20.7,2.5481140501355903,2840160.0
Seth Curry,2022-23,BKN,0,19.8,3.318945878084553,8496653.0
Walker Kessler,2022-23,UTA,5,23.0,2.7271567187264303,2696400.0
Deni Avdija,2022-23,WAS,1,26.6,3.4882013471501256,4916160.0
Jalen Duren,2022-23,DET,4,24.9,3.5895628294067654,4124280.0
Taurean Prince,2022-23,MIN,1,22.1,2.933214307738639,7100000.0
Josh Green,2022-23,DAL,0,25.7,3.163347979816704,3098400.0
Naji Marshall,2022-23,NOP,1,23.3,4.067900307278362,1782621.0
Bol Bol,2022-23,ORL,5,21.5,3.1559497131582384,2200000.0
Santi Aldama,2022-23,MEM,1,21.8,3.4700116504223906,2243040.0
Daniel Gafford,2022-23,WAS,4,20.6,3.565987345684647,1930681.0
Jose Alvarado,2022-23,NOP,1,21.5,3.7922323065162313,1563518.0
Mark Williams,2022-23,CHA,1,19.3,1.9342281644209485,3722040.0
AJ Griffin,2022-23,ATL,0,19.5,2.679730205568612,3536160.0
Royce O'Neale,2022-23,BKN,2,31.7,3.713783182859794,9200000.0
Terance Mann,2022-23,LAC,1,23.1,3.812837484105992,1930681.0
Dennis Smith Jr.,2022-23,CHA,5,25.7,2.7039211577954325,2133278.0
Jaden Hardy,2022-23,DAL,1,14.8,2.493753914518822,1017781.0
Jordan Nwora,2022-23,IND,1,19.2,2.9707299509734946,2800000.0
Cedi Osman,2022-23,CLE,5,20.1,3.0514205964282684,7426088.0
T.J. McConnell,2022-23,IND,1,20.4,2.92154187550621,8100000.0
Steven Adams,2022-23,MEM,5,27.0,2.3590647240501195,17926829.0
Ayo Dosunmu,2022-23,CHI,0,26.2,3.405791133322561,1563518.0
Draymond Green,2022-23,GSW,1,31.5,3.1152584948119326,25806468.0
Shake Milton,2022-23,PHI,0,20.6,3.184301025105166,1997718.0
Dorian Finney-Smith,2022-23,BKN,0,30.4,3.138791662947462,12939848.0
Terrence Ross,2022-23,PHX,4,21.1,2.578197750557069,11500000.0
