,PLAYER,SEASON,TEAM,Cluster,MIN
0,Allen Iverson,2000-01,PHI,1,41.9
1,Jerry Stackhouse,2000-01,DET,2,40.1
2,Shaquille O'Neal,2000-01,LAL,1,39.5
3,Kobe Bryant,2000-01,LAL,2,41.0
4,Vince Carter,2000-01,TOR,1,39.7
5,Chris Webber,2000-01,SAC,2,40.5
6,Tracy McGrady,2000-01,ORL,1,40.2
7,Paul Pierce,2000-01,BOS,1,38.1
8,Antawn Jamison,2000-01,GSW,1,41.4
9,Stephon Marbury,2000-01,NJN,2,38.2
10,Antoine Walker,2000-01,BOS,2,41.9
11,Karl Malone,2000-01,UTA,1,35.7
12,Gary Payton,2000-01,SEA,2,41.1
13,Tim Duncan,2000-01,SAS,1,38.7
14,Glenn Robinson,2000-01,MIL,1,37.0
15,Kevin Garnett,2000-01,MIN,2,39.5
16,Ray Allen,2000-01,MIL,2,38.2
17,Dirk Nowitzki,2000-01,DAL,1,38.1
18,Michael Finley,2000-01,DAL,2,42.0
19,Antonio McDyess,2000-01,DEN,1,36.5
20,Shareef Abdur-Rahim,2000-01,VAN,1,40.0
21,Jalen Rose,2000-01,IND,1,40.9
22,Peja Stojakovic,2000-01,SAC,1,38.7
23,Elton Brand,2000-01,CHI,1,39.3
24,Jamal Mashburn,2000-01,CHH,2,39.4
25,Steve Francis,2000-01,HOU,2,39.9
26,Jason Terry,2000-01,ATL,1,37.7
27,Ron Mercer,2000-01,CHI,1,41.5
28,Cuttino Mobley,2000-01,HOU,1,38.1
29,Rasheed Wallace,2000-01,POR,1,38.2
30,Reggie Miller,2000-01,IND,1,39.3
31,Allan Houston,2000-01,NYK,1,36.6
32,Sam Cassell,2000-01,MIL,1,35.7
33,Richard Hamilton,2000-01,WAS,1,32.3
34,Juwan Howard,2000-01,DAL,1,36.7
35,Nick Van Exel,2000-01,DEN,1,37.8
36,Latrell Sprewell,2000-01,NYK,1,39.1
37,Eddie Jones,2000-01,MIA,1,36.1
38,Shawn Marion,2000-01,PHX,1,36.2
39,David Wesley,2000-01,CHH,1,37.9
40,Lamar Odom,2000-01,LAC,2,37.2
41,Keith Van Horn,2000-01,NJN,1,35.3
42,Jason Kidd,2000-01,PHX,2,39.8
43,Larry Hughes,2000-01,GSW,1,36.9
44,Clifford Robinson,2000-01,PHX,1,33.6
45,Michael Dickerson,2000-01,VAN,1,37.4
46,Anthony Mason,2000-01,MIA,1,40.7
47,Terrell Brandon,2000-01,MIN,2,36.2
48,Mike Bibby,2000-01,VAN,1,38.9
49,Darrell Armstrong,2000-01,ORL,1,37.0
50,Andre Miller,2000-01,CLE,1,34.7
51,Steve Nash,2000-01,DAL,1,34.1
52,Derek Anderson,2000-01,SAS,1,34.9
53,Brian Grant,2000-01,MIA,1,33.8
54,Tim Hardaway,2000-01,MIA,1,33.9
55,Rashard Lewis,2000-01,SEA,1,34.9
56,David Robinson,2000-01,SAS,1,29.6
57,Wally Szczerbiak,2000-01,MIN,3,34.8
58,Baron Davis,2000-01,CHH,2,38.9
59,Antonio Davis,2000-01,TOR,3,35.0
60,Steven Smith,2000-01,POR,1,31.4
61,Donyell Marshall,2000-01,UTA,1,28.7
62,Marc Jackson,2000-01,GSW,3,29.3
63,Elden Campbell,2000-01,CHH,3,30.0
64,Maurice Taylor,2000-01,HOU,3,28.5
65,Damon Stoudamire,2000-01,POR,2,32.4
66,Ruben Patterson,2000-01,SEA,1,27.1
67,Raef LaFrentz,2000-01,DEN,1,31.5
68,Jeff McInnis,2000-01,LAC,2,34.9
69,Jermaine O'Neal,2000-01,IND,1,32.6
70,Lamond Murray,2000-01,CLE,1,28.5
71,Bonzi Wells,2000-01,POR,1,26.6
72,Tim Thomas,2000-01,MIL,1,27.4
73,Theo Ratliff,2000-01,PHI,1,36.0
74,Lorenzen Wright,2000-01,ATL,3,28.0
75,Doug Christie,2000-01,SAC,1,36.3
76,Joe Smith,2000-01,DET,3,28.1
77,Tony Delk,2000-01,PHX,1,27.9
78,Vin Baker,2000-01,SEA,3,28.0
79,Rodney Rogers,2000-01,PHX,1,26.6
80,Voshon Lenard,2000-01,DEN,1,29.2
81,Marcus Camby,2000-01,NYK,3,33.8
82,Vlade Divac,2000-01,SAC,1,29.8
83,Chucky Atkins,2000-01,DET,1,29.2
84,Glen Rice,2000-01,NYK,1,29.5
85,Kenyon Martin,2000-01,NJN,2,33.4
86,Bryon Russell,2000-01,UTA,1,31.7
87,Metta World Peace,2000-01,CHI,1,31.1
88,Travis Best,2000-01,IND,1,31.9
89,Mike Miller,2000-01,ORL,1,29.1
90,Hakeem Olajuwon,2000-01,HOU,3,26.6
91,Corliss Williamson,2000-01,DET,3,24.4
92,Aaron McKie,2000-01,PHI,2,31.5
93,John Stockton,2000-01,UTA,1,29.2
94,Jim Jackson,2000-01,CLE,1,30.2
95,Chris Gatling,2000-01,CLE,3,22.6
96,Clar. Weatherspoon,2000-01,CLE,3,33.9
97,Scottie Pippen,2000-01,POR,1,33.3
98,Matt Harpring,2000-01,CLE,3,28.8
99,Toni Kukoc,2000-01,ATL,2,24.6
100,Bob Sura,2000-01,GSW,1,31.7
101,Mookie Blaylock,2000-01,GSW,2,34.1
102,Johnny Newman,2000-01,NJN,1,25.0
103,Eric Piatkowski,2000-01,LAC,1,26.5
104,Anthony Peeler,2000-01,MIN,1,28.3
105,Alan Henderson,2000-01,ATL,3,24.8
106,Kurt Thomas,2000-01,NYK,3,27.6
107,Aaron Williams,2000-01,NJN,3,28.5
108,Austin Croshere,2000-01,IND,1,23.1
109,Arvydas Sabonis,2000-01,POR,1,21.2
110,Lindsey Hunter,2000-01,MIL,0,24.4
111,Corey Maggette,2000-01,LAC,3,19.7
112,Dikembe Mutombo,2000-01,PHI,3,34.6
113,Larry Johnson,2000-01,NYK,1,32.4
114,Eric Snow,2000-01,PHI,1,34.9
115,Alvin Williams,2000-01,TOR,2,29.2
116,Bryant Stith,2000-01,BOS,1,32.1
117,Patrick Ewing,2000-01,SEA,3,26.6
118,Rick Fox,2000-01,LAL,1,28.0
119,George McCloud,2000-01,DEN,1,26.4
120,Charles Oakley,2000-01,TOR,2,35.5
121,Tyrone Hill,2000-01,PHI,3,31.1
122,Courtney Alexander,2000-01,WAS,1,21.1
123,Marcus Fizer,2000-01,CHI,3,22.0
124,Chris Whitney,2000-01,WAS,1,26.0
125,Antonio Daniels,2000-01,SAS,1,26.1
126,LaPhonso Ellis,2000-01,MIN,3,23.7
127,Darius Miles,2000-01,LAC,3,26.4
128,Lucious Harris,2000-01,NJN,0,28.4
129,Jason Williams,2000-01,SAC,1,29.7
130,Morris Peterson,2000-01,TOR,1,22.6
131,Christian Laettner,2000-01,WAS,3,21.3
132,John Starks,2000-01,UTA,1,28.3
133,Chauncey Billups,2000-01,MIN,0,23.3
134,Kevin Willis,2000-01,DEN,3,23.4
135,Rod Strickland,2000-01,POR,1,25.4
136,Fred Hoiberg,2000-01,CHI,1,30.3
137,Howard Eisley,2000-01,DAL,1,29.6
138,Othella Harrington,2000-01,NYK,3,24.5
139,Brad Miller,2000-01,CHI,3,25.2
140,Brent Barry,2000-01,SEA,1,26.6
141,Shandon Anderson,2000-01,HOU,1,29.2
142,Chris Porter,2000-01,GSW,0,22.5
143,Jahidi White,2000-01,WAS,3,23.6
144,Michael Olowokandi,2000-01,LAC,3,25.9
145,Horace Grant,2000-01,LAL,3,31.0
146,P.J. Brown,2000-01,CHH,3,35.1
147,George Lynch,2000-01,PHI,1,32.3
148,Walt Williams,2000-01,HOU,0,22.0
149,Bryant Reeves,2000-01,VAN,3,24.4
150,Pat Garrity,2000-01,ORL,0,20.8
151,Tyrone Nesby,2000-01,WAS,0,25.1
152,Stephen Jackson,2000-01,NJN,1,21.6
153,James Posey,2000-01,DEN,3,27.5
154,Quentin Richardson,2000-01,LAC,0,17.8
155,Dana Barros,2000-01,DET,0,18.0
156,Hubert Davis,2000-01,WAS,0,25.7
157,John Amaechi,2000-01,ORL,3,20.9
158,Keon Clark,2000-01,TOR,3,21.2
159,Sean Elliott,2000-01,SAS,0,23.6
160,Felipe Lopez,2000-01,MIN,3,22.4
161,Malik Rose,2000-01,SAS,3,21.4
162,Nazr Mohammed,2000-01,ATL,3,15.8
163,Mark Jackson,2000-01,NYK,2,31.1
164,Bruce Bowen,2000-01,MIA,1,32.8
165,Isaiah Rider,2000-01,LAL,0,18.0
166,Chris Mihm,2000-01,CLE,3,19.7
167,Al Harrington,2000-01,IND,3,24.3
168,Vitaly Potapenko,2000-01,BOS,3,23.2
169,Eddie Robinson,2000-01,CHH,0,17.9
170,Erick Dampier,2000-01,GSW,3,24.2
171,Danny Manning,2000-01,UTA,3,15.9
172,Vonteego Cummings,2000-01,GSW,1,22.7
173,Bo Outlaw,2000-01,ORL,3,31.7
174,Bobby Jackson,2000-01,SAC,1,20.9
175,Terry Porter,2000-01,SAS,0,21.0
176,Dale Davis,2000-01,POR,3,26.7
177,Jason Caffey,2000-01,MIL,3,20.8
178,Wesley Person,2000-01,CLE,0,21.8
179,Kenny Thomas,2000-01,HOU,3,24.6
180,Charlie Ward,2000-01,NYK,0,24.5
181,Shawn Bradley,2000-01,DAL,3,24.4
182,Shammond Williams,2000-01,SEA,0,18.0
183,Chris Crawford,2000-01,ATL,3,19.2
184,Matt Maloney,2000-01,ATL,0,25.5
185,Moochie Norris,2000-01,HOU,0,20.1
186,Eric Williams,2000-01,BOS,0,21.5
187,Ron Harper,2000-01,LAL,0,24.2
188,Damon Jones,2000-01,VAN,0,19.9
189,Mahmoud Abdul-Rauf,2000-01,VAN,0,11.8
190,Shawn Kemp,2000-01,POR,0,15.9
191,Robert Pack,2000-01,DEN,2,17.0
192,Scot Pollard,2000-01,SAC,3,21.6
193,Ben Wallace,2000-01,DET,3,34.5
194,Anthony Carter,2000-01,MIA,1,22.7
195,Michael Doleac,2000-01,ORL,0,18.1
196,Tom Gugliotta,2000-01,PHX,0,20.4
197,Jerome Williams,2000-01,TOR,3,20.0
198,Bryce Drew,2000-01,CHI,0,27.2
199,Brevin Knight,2000-01,ATL,0,27.6
200,Khalid El-Amin,2000-01,CHI,0,18.7
201,Scott Williams,2000-01,MIL,3,19.2
202,Jacque Vaughn,2000-01,UTA,0,19.8
203,Dell Curry,2000-01,TOR,0,13.5
204,Grant Long,2000-01,VAN,0,22.9
205,Trajan Langdon,2000-01,CLE,0,17.2
206,Desmond Mason,2000-01,SEA,0,19.5
207,Dion Glover,2000-01,ATL,0,16.3
208,Keyon Dooling,2000-01,LAC,0,16.3
209,Adonal Foyle,2000-01,GSW,3,25.2
210,Milt Palacio,2000-01,BOS,0,19.7
211,Emanual Davis,2000-01,SEA,0,20.8
212,Matt Bullard,2000-01,HOU,0,16.4
213,Robert Traylor,2000-01,CLE,3,17.3
214,Sherman Douglas,2000-01,NJN,0,18.5
215,Avery Johnson,2000-01,SAS,0,23.4
216,Danny Ferry,2000-01,SAS,0,21.1
217,Sean Rooks,2000-01,LAC,3,18.9
218,Mateen Cleaves,2000-01,DET,0,16.2
219,Calvin Booth,2000-01,DAL,3,16.9
220,Olden Polynice,2000-01,UTA,3,20.0
221,Hedo Turkoglu,2000-01,SAC,0,16.9
222,Rodney Buford,2000-01,PHI,0,12.2
223,Brian Shaw,2000-01,LAL,0,22.9
224,Samaki Walker,2000-01,SAS,3,15.8
225,Michael Curry,2000-01,DET,0,21.9
226,Erick Strickland,2000-01,VAN,0,16.6
227,Robert Horry,2000-01,LAL,0,20.1
228,Jon Barry,2000-01,SAC,0,16.3
229,DerMarr Johnson,2000-01,ATL,0,16.8
230,Tracy Murray,2000-01,TOR,0,11.5
231,Dan Majerle,2000-01,MIA,0,24.6
232,Mike Penberthy,2000-01,LAL,0,16.0
233,Eddie House,2000-01,MIA,0,10.9
234,Monty Williams,2000-01,ORL,0,14.7
235,Bimbo Coles,2000-01,CLE,0,17.1
236,Greg Anthony,2000-01,POR,0,14.8
237,Stromile Swift,2000-01,VAN,3,16.4
238,Lawrence Funderburke,2000-01,SAC,0,11.8
239,Gerard King,2000-01,WAS,0,15.7
240,Paul McPherson,2000-01,GSW,0,10.8
241,Troy Hudson,2000-01,ORL,0,13.4
242,Corey Benjamin,2000-01,CHI,0,13.2
243,Stacey Augmon,2000-01,POR,0,17.9
244,Chris Childs,2000-01,TOR,0,24.1
245,Jumaine Jones,2000-01,PHI,0,13.3
246,Vernon Maxwell,2000-01,DAL,0,15.4
247,Jamal Crawford,2000-01,CHI,0,17.2
248,Reggie Slater,2000-01,MIN,0,12.4
249,Corie Blount,2000-01,GSW,3,19.2
250,Cherokee Parks,2000-01,LAC,0,16.2
251,Mark Strickland,2000-01,NJN,0,13.1
252,Jamaal Magloire,2000-01,CHH,3,14.8
253,Jelani McCoy,2000-01,SEA,3,16.3
254,Rasho Nesterovic,2000-01,MIN,0,17.0
255,Jake Tsakalidis,2000-01,PHX,3,16.6
256,Greg Ostertag,2000-01,UTA,3,18.4
257,Tony Massenburg,2000-01,VAN,3,15.7
258,A.C. Green,2000-01,MIA,0,17.2
259,Mikki Moore,2000-01,DET,3,14.2
260,Billy Owens,2000-01,DET,0,17.7
261,Mario Elie,2000-01,PHX,0,22.2
262,Hanno Mottola,2000-01,ATL,0,13.5
263,Ike Austin,2000-01,VAN,3,16.3
264,Cedric Henderson,2000-01,CLE,0,17.5
265,Randy Brown,2000-01,BOS,0,22.9
266,Todd MacCulloch,2000-01,PHI,0,9.5
267,Zan Tabak,2000-01,IND,0,14.1
268,Vinny Del Negro,2000-01,PHX,0,14.1
269,Lee Nailon,2000-01,CHH,0,11.1
270,Andrew DeClercq,2000-01,ORL,3,13.4
271,Mark Blount,2000-01,BOS,0,17.2
272,Michael Smith,2000-01,WAS,3,20.4
273,Sam Perkins,2000-01,IND,0,15.6
274,David Benoit,2000-01,UTA,0,9.1
275,Popeye Jones,2000-01,WAS,3,14.2
276,Jeff Foster,2000-01,IND,3,16.3
277,Kevin Edwards,2000-01,VAN,0,13.8
278,Sam Mitchell,2000-01,MIN,0,12.0
279,Evan Eschmeyer,2000-01,NJN,0,18.0
280,Jud Buechler,2000-01,DET,0,12.9
281,Ryan Bowen,2000-01,DEN,0,12.2
282,Loy Vaught,2000-01,WAS,0,10.8
283,Steve Kerr,2000-01,SAS,0,11.9
284,Jonathan Bender,2000-01,IND,0,9.7
285,Ervin Johnson,2000-01,MIL,3,24.2
286,Don Reid,2000-01,ORL,0,11.7
287,Cal Bowdler,2000-01,ATL,0,8.5
288,Daniel Santiago,2000-01,PHX,0,10.7
289,Hersey Hawkins,2000-01,CHH,0,11.5
290,Kevin Ollie,2000-01,PHI,0,13.2
291,Devean George,2000-01,LAL,0,10.0
292,Elliot Perry,2000-01,PHX,0,10.2
293,Otis Thorpe,2000-01,CHH,0,13.2
294,William Avery,2000-01,MIN,0,8.4
295,Michael Ruffin,2000-01,CHI,3,19.5
296,Dean Garrett,2000-01,MIN,0,11.9
297,Adam Keefe,2000-01,GSW,0,12.6
298,Anthony Johnson,2000-01,CLE,0,9.6
299,Mark Pope,2000-01,MIL,0,14.9
300,Dragan Tarlac,2000-01,CHI,0,13.9
301,Eldridge Recasner,2000-01,CHH,0,9.4
302,Eric Montross,2000-01,TOR,0,12.0
303,Derrick McKey,2000-01,IND,0,14.9
304,Walter McCarty,2000-01,BOS,0,7.9
305,Adrian Griffin,2000-01,BOS,0,8.5
306,Greg Foster,2000-01,LAL,0,7.3
307,Mark Madsen,2000-01,LAL,0,9.1
308,Chris Dudley,2000-01,PHX,0,11.5
309,Travis Knight,2000-01,NYK,0,5.7
310,Tracy McGrady,2002-03,ORL,2,39.3
311,Kobe Bryant,2002-03,LAL,2,41.5
312,Allen Iverson,2002-03,PHI,1,42.5
313,Shaquille O'Neal,2002-03,LAL,1,37.8
314,Paul Pierce,2002-03,BOS,2,39.2
315,Dirk Nowitzki,2002-03,DAL,1,39.0
316,Tim Duncan,2002-03,SAS,2,39.3
317,Chris Webber,2002-03,SAC,2,39.1
318,Kevin Garnett,2002-03,MIN,2,40.5
319,Ray Allen,2002-03,SEA,2,37.9
320,Allan Houston,2002-03,NYK,1,37.9
321,Stephon Marbury,2002-03,PHX,1,40.1
322,Antawn Jamison,2002-03,GSW,1,39.4
323,Jalen Rose,2002-03,CHI,2,40.9
324,Jamal Mashburn,2002-03,NOH,2,40.6
325,Jerry Stackhouse,2002-03,WAS,1,39.3
326,Shawn Marion,2002-03,PHX,1,41.7
327,Steve Francis,2002-03,HOU,2,41.0
328,Glenn Robinson,2002-03,ATL,1,37.6
329,Jermaine O'Neal,2002-03,IND,2,37.2
330,Ricky Davis,2002-03,CLE,1,39.7
331,Karl Malone,2002-03,UTA,1,36.2
332,Vince Carter,2002-03,TOR,1,34.2
333,Gary Payton,2002-03,MIL,1,40.1
334,Antoine Walker,2002-03,BOS,2,41.5
335,Michael Jordan,2002-03,WAS,1,36.9
336,Shareef Abdur-Rahim,2002-03,ATL,1,38.0
337,Sam Cassell,2002-03,MIL,2,34.6
338,Richard Hamilton,2002-03,DET,1,32.2
339,Michael Finley,2002-03,DAL,1,38.3
340,Peja Stojakovic,2002-03,SAC,1,34.0
341,Pau Gasol,2002-03,MEM,1,35.9
342,Jason Kidd,2002-03,NJN,2,37.4
343,Eddie Jones,2002-03,MIA,1,38.0
344,Elton Brand,2002-03,LAC,2,39.5
345,Juwan Howard,2002-03,DEN,1,35.5
346,Gilbert Arenas,2002-03,GSW,1,35.0
347,Rashard Lewis,2002-03,SEA,1,39.5
348,Rasheed Wallace,2002-03,POR,1,36.3
349,Steve Nash,2002-03,DAL,1,33.1
350,Matt Harpring,2002-03,UTA,1,32.8
351,Wally Szczerbiak,2002-03,MIN,1,35.3
352,Cuttino Mobley,2002-03,HOU,1,41.7
353,Jason Terry,2002-03,ATL,2,38.1
354,Zydrunas Ilgauskas,2002-03,CLE,1,30.0
355,Baron Davis,2002-03,NOH,1,37.9
356,Corey Maggette,2002-03,LAC,1,31.3
357,David Wesley,2002-03,NOH,1,37.1
358,Kenyon Martin,2002-03,NJN,1,34.1
359,Latrell Sprewell,2002-03,NYK,2,38.6
360,Chauncey Billups,2002-03,DET,1,31.5
361,Mike Bibby,2002-03,SAC,1,33.4
362,Keith Van Horn,2002-03,PHI,1,31.6
363,Jason Richardson,2002-03,GSW,1,32.9
364,Mike Miller,2002-03,MEM,1,33.6
365,Richard Jefferson,2002-03,NJN,2,35.9
366,Metta World Peace,2002-03,IND,1,33.6
367,Tony Parker,2002-03,SAS,1,33.9
368,Caron Butler,2002-03,MIA,1,36.6
369,Bonzi Wells,2002-03,POR,1,32.0
370,Bobby Jackson,2002-03,SAC,1,28.4
371,Michael Redd,2002-03,MIL,1,28.3
372,Lamar Odom,2002-03,LAC,1,34.2
373,Desmond Mason,2002-03,MIL,3,34.6
374,Voshon Lenard,2002-03,TOR,1,30.6
375,Troy Hudson,2002-03,MIN,1,32.9
376,Morris Peterson,2002-03,TOR,1,35.9
377,Kurt Thomas,2002-03,NYK,3,31.8
378,Antonio Davis,2002-03,TOR,1,35.8
379,Derek Anderson,2002-03,POR,1,33.6
380,Andre Miller,2002-03,LAC,2,36.4
381,Amar'e Stoudemire,2002-03,PHX,1,31.3
382,Yao Ming,2002-03,HOU,1,29.0
383,Dajuan Wagner,2002-03,CLE,1,29.5
384,Donyell Marshall,2002-03,CHI,1,30.5
385,Tim Thomas,2002-03,MIL,1,29.5
386,Alvin Williams,2002-03,TOR,1,33.9
387,Brad Miller,2002-03,IND,1,31.1
388,Kerry Kittles,2002-03,NJN,1,30.1
389,Eric Snow,2002-03,PHI,2,37.9
390,Larry Hughes,2002-03,WAS,1,31.9
391,Reggie Miller,2002-03,IND,1,30.3
392,Drew Gooden,2002-03,ORL,1,26.8
393,Nick Van Exel,2002-03,DAL,1,27.9
394,Gordan Giricek,2002-03,ORL,1,28.3
395,Clifford Robinson,2002-03,DET,1,34.9
396,Al Harrington,2002-03,IND,3,30.1
397,Jason Williams,2002-03,MEM,1,31.6
398,Andrei Kirilenko,2002-03,UTA,1,27.7
399,Corliss Williamson,2002-03,DET,3,25.1
400,Stephen Jackson,2002-03,SAS,1,28.1
401,Troy Murphy,2002-03,GSW,3,31.8
402,Toni Kukoc,2002-03,MIL,1,27.0
403,Lorenzen Wright,2002-03,MEM,3,28.3
404,Rasho Nesterovic,2002-03,MIN,3,30.4
405,Wesley Person,2002-03,MEM,0,29.4
406,John Stockton,2002-03,UTA,1,27.7
407,Scottie Pippen,2002-03,POR,1,29.9
408,James Posey,2002-03,HOU,2,30.3
409,Jamal Crawford,2002-03,CHI,1,24.8
410,Pat Garrity,2002-03,ORL,1,31.9
411,P.J. Brown,2002-03,NOH,3,33.5
412,Anfernee Hardaway,2002-03,PHX,2,30.6
413,Derek Fisher,2002-03,LAL,1,34.5
414,Nene,2002-03,DEN,1,28.2
415,Eddy Curry,2002-03,CHI,3,19.5
416,Malik Rose,2002-03,SAS,3,24.4
417,Lucious Harris,2002-03,NJN,0,25.6
418,Brent Barry,2002-03,SEA,1,33.1
419,Brian Grant,2002-03,MIA,3,32.2
420,Jamaal Magloire,2002-03,NOH,1,29.8
421,Kenny Thomas,2002-03,PHI,3,30.0
422,Vladimir Radmanovic,2002-03,SEA,1,26.5
423,Carlos Boozer,2002-03,CLE,3,25.3
424,Vlade Divac,2002-03,SAC,1,29.8
425,Jumaine Jones,2002-03,CLE,0,27.5
426,Joe Johnson,2002-03,PHX,1,27.5
427,Tony Delk,2002-03,BOS,1,28.0
428,Jerome Williams,2002-03,TOR,1,33.0
429,Dion Glover,2002-03,ATL,1,24.8
430,Eric Piatkowski,2002-03,LAC,0,21.9
431,Shane Battier,2002-03,MEM,1,30.5
432,Stromile Swift,2002-03,MEM,3,22.0
433,Malik Allen,2002-03,MIA,3,29.0
434,Jay Williams,2002-03,CHI,2,26.1
435,Derrick Coleman,2002-03,PHI,1,27.2
436,Predrag Drobnjak,2002-03,SEA,3,24.2
437,Darrell Armstrong,2002-03,ORL,1,28.7
438,Quentin Richardson,2002-03,LAC,0,23.2
439,Doug Christie,2002-03,SAC,1,33.9
440,Raef LaFrentz,2002-03,DAL,3,23.3
441,Darius Miles,2002-03,CLE,0,29.9
442,Tyson Chandler,2002-03,CHI,3,24.3
443,Eric Williams,2002-03,BOS,1,28.7
444,Howard Eisley,2002-03,NYK,1,27.4
445,Rodney White,2002-03,DEN,2,21.7
446,Aaron McKie,2002-03,PHI,1,29.7
447,Glen Rice,2002-03,HOU,0,24.7
448,Rick Fox,2002-03,LAL,1,28.7
449,Earl Boykins,2002-03,GSW,0,19.4
450,Theo Ratliff,2002-03,ATL,3,31.2
451,Kendall Gill,2002-03,MIN,0,25.2
452,Calbert Cheaney,2002-03,UTA,1,29.0
453,Tyronn Lue,2002-03,WAS,0,26.5
454,Eddie Griffin,2002-03,HOU,0,24.4
455,David Robinson,2002-03,SAS,1,26.1
456,Zach Randolph,2002-03,POR,3,16.9
457,Maurice Taylor,2002-03,HOU,3,20.6
458,Shandon Anderson,2002-03,NYK,0,21.1
459,Travis Best,2002-03,MIA,1,25.1
460,Ruben Patterson,2002-03,POR,0,21.3
461,Christian Laettner,2002-03,WAS,3,29.1
462,J.R. Bremer,2002-03,BOS,0,23.5
463,Erick Dampier,2002-03,GSW,3,24.1
464,Shammond Williams,2002-03,DEN,1,24.1
465,Donnell Harvey,2002-03,DEN,3,21.0
466,Courtney Alexander,2002-03,NOH,0,20.6
467,Rafer Alston,2002-03,TOR,1,20.9
468,Mike James,2002-03,MIA,1,22.1
469,Jamaal Tinsley,2002-03,IND,1,30.7
470,Othella Harrington,2002-03,NYK,3,24.9
471,Jim Jackson,2002-03,SAC,0,20.8
472,Ira Newble,2002-03,ATL,3,26.4
473,Ron Mercer,2002-03,IND,0,23.2
474,Anthony Peeler,2002-03,MIN,0,27.4
475,Manu Ginobili,2002-03,SAS,1,20.8
476,Rasual Butler,2002-03,MIA,0,21.0
477,Joe Smith,2002-03,MIN,3,20.7
478,Eddie House,2002-03,MIA,0,18.6
479,Marko Jaric,2002-03,LAC,1,21.0
480,Dale Davis,2002-03,POR,3,29.2
481,Kwame Brown,2002-03,WAS,3,22.2
482,Bob Sura,2002-03,GSW,1,20.5
483,Tony Battie,2002-03,BOS,3,25.1
484,Anthony Mason,2002-03,MIL,3,32.6
485,Charlie Ward,2002-03,NYK,0,22.2
486,Todd MacCulloch,2002-03,PHI,3,19.3
487,Bruce Bowen,2002-03,SAS,1,31.3
488,Chucky Atkins,2002-03,DET,0,21.5
489,Rodney Rogers,2002-03,NJN,1,19.2
490,Chris Whitney,2002-03,ORL,1,20.6
491,Jon Barry,2002-03,DET,0,18.5
492,Damon Stoudamire,2002-03,POR,0,22.3
493,Ben Wallace,2002-03,DET,2,39.3
494,Devean George,2002-03,LAL,1,22.7
495,Vincent Yarbrough,2002-03,DEN,0,23.4
496,Mehmet Okur,2002-03,DET,3,19.0
497,Jelani McCoy,2002-03,TOR,3,20.4
498,Rod Strickland,2002-03,MIN,0,20.3
499,Shawn Kemp,2002-03,ORL,3,20.6
500,Steven Smith,2002-03,SAS,0,19.5
501,Shawn Bradley,2002-03,DAL,3,21.3
502,Keon Clark,2002-03,SAC,3,22.2
503,Hedo Turkoglu,2002-03,SAC,0,17.6
504,Eduardo Najera,2002-03,DAL,3,22.9
505,Clar. Weatherspoon,2002-03,NYK,3,25.6
506,Jonathan Bender,2002-03,IND,3,17.8
507,Robert Horry,2002-03,LAL,1,29.3
508,Kevin Ollie,2002-03,SEA,0,23.2
509,Erick Strickland,2002-03,IND,0,18.0
510,Juan Dixon,2002-03,WAS,0,15.4
511,Mike Batiste,2002-03,MEM,0,16.7
512,Keyon Dooling,2002-03,LAC,0,17.6
513,Brendan Haywood,2002-03,WAS,3,23.8
514,Smush Parker,2002-03,CLE,0,16.7
515,Aaron Williams,2002-03,NJN,3,19.8
516,Elden Campbell,2002-03,SEA,3,15.5
517,Arvydas Sabonis,2002-03,POR,0,15.4
518,Kenny Anderson,2002-03,NOH,0,18.6
519,Walter McCarty,2002-03,BOS,0,23.8
520,Greg Buckner,2002-03,PHI,1,20.2
521,Brian Skinner,2002-03,PHI,3,18.0
522,Gary Trent,2002-03,MIN,3,15.3
523,Chris Mihm,2002-03,CLE,3,15.5
524,Jacque Vaughn,2002-03,ORL,0,21.1
525,Jason Caffey,2002-03,MIL,0,17.5
526,Jeff McInnis,2002-03,POR,0,17.5
527,Eddie Robinson,2002-03,CHI,0,21.2
528,Mike Dunleavy,2002-03,GSW,0,15.9
529,Scott Padgett,2002-03,UTA,0,16.1
530,Jason Collins,2002-03,NJN,3,23.4
531,Vladimir Stepania,2002-03,MIA,3,20.2
532,Tyrone Hill,2002-03,PHI,3,24.2
533,Walt Williams,2002-03,DAL,0,17.6
534,Earl Watson,2002-03,MEM,0,17.2
535,Marc Jackson,2002-03,MIN,0,13.5
536,Jerome James,2002-03,SEA,3,15.0
537,Greg Ostertag,2002-03,UTA,3,23.8
538,Adonal Foyle,2002-03,GSW,3,21.8
539,Vin Baker,2002-03,BOS,3,18.2
540,Chris Andersen,2002-03,DEN,3,15.3
541,Austin Croshere,2002-03,IND,0,12.9
542,Casey Jacobsen,2002-03,PHX,0,15.9
543,Junior Harrington,2002-03,DEN,0,24.4
544,Michael Bradley,2002-03,TOR,3,19.6
545,LaPhonso Ellis,2002-03,MIA,0,14.2
546,Milt Palacio,2002-03,CLE,0,24.7
547,Mark Blount,2002-03,BOS,3,17.4
548,Alan Henderson,2002-03,ATL,3,18.2
549,Lonny Baxter,2002-03,CHI,0,12.4
550,Andrew DeClercq,2002-03,ORL,3,17.3
551,Bo Outlaw,2002-03,PHX,3,22.5
552,Tony Massenburg,2002-03,UTA,0,13.6
